# x_mm,y_mm,z_mm
2.868862401960536346e+01,3.948801787867462565e+01,5.955444232684707906e+00
2.915443810347231590e+01,4.006855149848219355e+01,6.921218313043960180e+00
2.963165249885756225e+01,4.064581881214041914e+01,7.912501393861345100e+00
3.011998023777061562e+01,4.122061990717228497e+01,8.928796424294109357e+00
3.058591789322554888e+01,4.180785465269050860e+01,9.966354105931158003e+00
3.104341633563353753e+01,4.239670552778422774e+01,1.101885234450644191e+01
3.150651587285402400e+01,4.298078728365009482e+01,1.208393434951015344e+01
3.196025608829972242e+01,4.356565188091941820e+01,1.315813404909138740e+01
3.238552638390503091e+01,4.415613771840539670e+01,1.423586046353792867e+01
3.281163732577488190e+01,4.474111786347869923e+01,1.531463336982738888e+01
3.324057970263654482e+01,4.531915346041194681e+01,1.639071224337348909e+01
3.362606049196884328e+01,4.590408682064448698e+01,1.745978059451546116e+01
3.400799330369206075e+01,4.648302403052311860e+01,1.851978324698404066e+01
3.439021427048007240e+01,4.705385256418830409e+01,1.956716389001225664e+01
3.474833291476373631e+01,4.762273985227911055e+01,2.059934614943783870e+01
3.508191173166125765e+01,4.818880758028118549e+01,2.161427943886191017e+01
3.541353608754830873e+01,4.874574094617691600e+01,2.261001078363029393e+01
3.574229988029115646e+01,4.929294457594399148e+01,2.358463043708104934e+01
3.603291356998906991e+01,4.983665228923390345e+01,2.453560206872030136e+01
3.631370689749356728e+01,5.037038338361352174e+01,2.546265731202715799e+01
3.659076623402915374e+01,5.089223810297449546e+01,2.636502312072324727e+01
3.686323482998149359e+01,5.140107586499815540e+01,2.724120896316383522e+01
3.710352505573116133e+01,5.189940839173019071e+01,2.808812088622137537e+01
3.733060413975653091e+01,5.238502591587000268e+01,2.890863194241196155e+01
3.755417394262651953e+01,5.285443254501036847e+01,2.970066589611590757e+01
3.777290841979611002e+01,5.330714950246543538e+01,3.046409415185315339e+01
3.798329481899200744e+01,5.374314286906999172e+01,3.119894202119906268e+01
3.816188231245345008e+01,5.416222087259287576e+01,3.190037084555229541e+01
3.833469704239137599e+01,5.456387076193698960e+01,3.257432093537818218e+01
3.850113924081473726e+01,5.494732022405402461e+01,3.322013955795995344e+01
3.866487236352521961e+01,5.530907259494728123e+01,3.383361161104438963e+01
3.882100826749078948e+01,5.565226148671359852e+01,3.441903120399467753e+01
3.896939084265115838e+01,5.591908546210501640e+01,3.500913108295895881e+01
2.179786561658016808e+01,3.942265029196463644e+01,-1.162536716886104909e-01
2.230314523160082274e+01,3.989791042613936156e+01,5.276393416076056164e-01
2.279606766756852920e+01,4.036944620797317640e+01,1.246932420605912695e+00
2.327238160462469452e+01,4.082132310735342173e+01,2.044026468512327721e+00
2.374183393322033453e+01,4.125601229511477186e+01,2.909210314051918989e+00
2.419239760419810636e+01,4.169941119983939615e+01,3.825541437983800641e+00
2.465140207738067701e+01,4.214774034484929643e+01,4.779311568510292929e+00
2.512673485746994118e+01,4.259229470368322268e+01,5.767002061765737153e+00
2.561361342700028132e+01,4.303577516967939687e+01,6.786542254439622113e+00
2.608341164988466687e+01,4.349381791475600068e+01,7.831537064587685393e+00
2.656544780841330322e+01,4.394439443834231440e+01,8.896905318386274075e+00
2.705796874241280037e+01,4.438928485581405425e+01,9.980814488691947872e+00
2.753649471781364966e+01,4.484102943320544199e+01,1.107732022474007749e+01
2.801285297917679884e+01,4.528995182906785999e+01,1.217934309509884194e+01
2.849434720141425359e+01,4.573364981740253654e+01,1.328565224111541632e+01
2.897028022968811101e+01,4.617696957444925232e+01,1.439148730485435834e+01
2.942943596949091400e+01,4.662257121299150242e+01,1.548909656180735439e+01
2.988847151228117482e+01,4.706489855859886973e+01,1.657898051829447184e+01
3.035000039435280783e+01,4.750240922120362796e+01,1.765727258336131911e+01
3.078303268227423573e+01,4.794572225792066433e+01,1.871713832475226269e+01
3.121207277359109611e+01,4.838648308676494025e+01,1.975948298302711592e+01
3.164099478434155088e+01,4.882266844248623272e+01,2.078155884307951951e+01
