# x_mm,y_mm,z_mm
3.529319893950874132e+01,5.246711076552622899e+01,3.085971436712356919e+01
3.560116364752872897e+01,5.282403904646188408e+01,3.155147235927268667e+01
3.589884884996619974e+01,5.316869251213033465e+01,3.221547839641687005e+01
3.617339439062912021e+01,5.349875239970158702e+01,3.284461356806641419e+01
3.643923154202485648e+01,5.381443241629735041e+01,3.344591072419069633e+01
3.669612945484185929e+01,5.411512238555545906e+01,3.401931739689391776e+01
3.695076102005600660e+01,5.439555703855801028e+01,3.455948062095627904e+01
3.719559828147163216e+01,5.466156234440006045e+01,3.507357346140755538e+01
3.743058251680952253e+01,5.496229234758580162e+01,3.553691623891524642e+01
1.862086358038883560e+01,4.355975860147473355e+01,8.393788647322759922e-02
1.892089460484059416e+01,4.383057310241873239e+01,9.321342818631408456e-01
1.925876898061484255e+01,4.412378988361110999e+01,1.806900975257174746e+00
1.964657708812739045e+01,4.443690159700683040e+01,2.702158840390246564e+00
2.007600108903049119e+01,4.476349679263529424e+01,3.621925952303765239e+00
2.051931461986490746e+01,4.510960935560186869e+01,4.571168751751351067e+00
2.097387351890949958e+01,4.545722421535713664e+01,5.558296408642959818e+00
2.144544776338632275e+01,4.579777874163710294e+01,6.578234411366429946e+00
2.192877076870555797e+01,4.613370600716105940e+01,7.626447020170536106e+00
2.240668834590485758e+01,4.647684814992035740e+01,8.697934181158581524e+00
2.289866308492644009e+01,4.681035697308288235e+01,9.788619401863007496e+00
2.340075320760812971e+01,4.713616221704513265e+01,1.089345707885979486e+01
2.389747558836754138e+01,4.746450053005894887e+01,1.200725712996364081e+01
2.439905848357644302e+01,4.778637833795667689e+01,1.312374475204738644e+01
2.490590230852937026e+01,4.810266926122468334e+01,1.424083369575047797e+01
2.541131740033579689e+01,4.841695184703728927e+01,1.535323593783281204e+01
2.591194896434594597e+01,4.872920609641134604e+01,1.645359055354965605e+01
2.641268799930512756e+01,4.903938813133221686e+01,1.754385170566775898e+01
2.691602502245597961e+01,4.934468734669597723e+01,1.861835882896930627e+01
2.740572071579641644e+01,4.965217145645944186e+01,1.967075638757367528e+01
2.789264986401449065e+01,4.995852158050082181e+01,2.070412609715844354e+01
2.837985400567379912e+01,5.026071248522782042e+01,2.171421551985844545e+01
2.885663855290389890e+01,5.056329168313380507e+01,2.269850714029872307e+01
2.932295423363691356e+01,5.086569652270586772e+01,2.365586019549589736e+01
2.978620446180964620e+01,5.116444014549991692e+01,2.458654934808279435e+01
3.024506740744680755e+01,5.145926183369606122e+01,2.548956694962373959e+01
3.068681807022015562e+01,5.175356693471074720e+01,2.636193365494800744e+01
3.112165952075795872e+01,5.204270879364185731e+01,2.720482144851740358e+01
3.155015487919464334e+01,5.232597503535925654e+01,2.801898489991031127e+01
3.197155843474097026e+01,5.260257049523995221e+01,2.880422154827036252e+01
3.237824811751405463e+01,5.287222066108083851e+01,2.955651079592847097e+01
3.277284946613878702e+01,5.313518324618708988e+01,3.028013107037951812e+01
3.316164825868984423e+01,5.338682169902178032e+01,3.097307868477909309e+01
3.354272092078380751e+01,5.362758568535882375e+01,3.163650585013447625e+01
3.391220802424949454e+01,5.385918202651923536e+01,3.227232031088145447e+01
3.426869365246611920e+01,5.407681374709411415e+01,3.287248049715670106e+01
3.461454830441805797e+01,5.428378626683360153e+01,3.344513723129445282e+01
3.494931587639889869e+01,5.447949737982414575e+01,3.398939817395314122e+01
3.528214528173824505e+01,5.465694101405842531e+01,3.449899772386086738e+01
3.560283815946234398e+01,5.482521697122818694e+01,3.498340118967390566e+01
3.590910748512581563e+01,5.502640631472399946e+01,3.542930019127618380e+01
1.585865573507227211e+01,4.766265649488331491e+01,5.621753401516896981e-02
1.616526991819616299e+01,4.788603558386894576e+01,9.227163425555596765e-01
1.650143022074329124e+01,4.812661398365337106e+01,1.822443687616772223e+00
1.687712287363812180e+01,4.837752078792080823e+01,2.745471136009326685e+00
1.729038158212195953e+01,4.863637580668751781e+01,3.704536054458881456e+00
1.772470256594040805e+01,4.890584234931956331e+01,4.699665440395709659e+00
1.816887348450223882e+01,4.917138786459062771e+01,5.725089870610192477e+00
1.862902701232761160e+01,4.942649300017795611e+01,6.779693833077405252e+00
1.910345438549657970e+01,4.967554142134842010e+01,7.865079155393449817e+00
1.958229990340392490e+01,4.992262179128087496e+01,8.970147074191737957e+00
2.007343184769294808e+01,5.015666599518873880e+01,1.008640826719885908e+01
2.057588684034212179e+01,5.038260917551295393e+01,1.121631666585403764e+01
2.108038891649441027e+01,5.060554032121012114e+01,1.235038417243217168e+01
2.159441501108032568e+01,5.081686360345138809e+01,1.348100518133761128e+01
2.211390223847578795e+01,5.102294201543279684e+01,1.460869350452629334e+01
2.263484904878515991e+01,5.122479391800867177e+01,1.572532275295662885e+01
2.316255331316400756e+01,5.141850810238224767e+01,1.682760678601420068e+01
2.368938267445729906e+01,5.161137493513909646e+01,1.791444849598697786e+01
2.421772900889165925e+01,5.179939758780069781e+01,1.897901857211033771e+01
2.474794247842332240e+01,5.198380825910813030e+01,2.002162417795522487e+01
2.527492428438302596e+01,5.216800770424574551e+01,2.104009641412920573e+01
2.580172560113617664e+01,5.234854471462913494e+01,2.203095923360327291e+01
2.632537693356396247e+01,5.252811810925273761e+01,2.299494333762060805e+01
2.684533707455636886e+01,5.270581249963974813e+01,2.392985227383337943e+01
2.736154381368127986e+01,5.288105077599732340e+01,2.483517728101305622e+01
2.787278147416712670e+01,5.305400508305531559e+01,2.571088266443623027e+01
2.837755600319978555e+01,5.322437377872184072e+01,2.655621907642924739e+01
2.887700472500554483e+01,5.339023670104939612e+01,2.737072172103020407e+01
2.936920331814679486e+01,5.355234191457576287e+01,2.815556213840199362e+01
2.985242448893154332e+01,5.370975345981594984e+01,2.890937368730171997e+01
3.033023731976078352e+01,5.385926007806057214e+01,2.963229893451232755e+01
3.079678157463182231e+01,5.400426886606133081e+01,3.032634152271619143e+01
3.125572209338006147e+01,5.413964055725641344e+01,3.098820640712603591e+01
3.170646819930103533e+01,5.426716993801795041e+01,3.162212321737953502e+01
3.214225415529617180e+01,5.438845136316034967e+01,3.222557322067582675e+01
3.257413712530358652e+01,5.449475553141943607e+01,3.279525665654590227e+01
3.299488978007878615e+01,5.459541595764529376e+01,3.334116150790278255e+01
3.339894013963915853e+01,5.468835820643045054e+01,3.385329746020180153e+01
3.380058882625800720e+01,5.476515732324345009e+01,3.433091468037547145e+01
3.418998338698656880e+01,5.483935269820833724e+01,3.478967792894403743e+01
3.455934998011106529e+01,5.494281731218124065e+01,3.522176569063051232e+01
