"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega"
46, -2.521296116e-02, 1.054278766e-02, -1.066130164e-02, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
47, -2.521296116e-02, 1.082946668e-02, -1.036997472e-02, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
48, -2.521296116e-02, 1.119246743e-02, -9.977093620e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
49, -2.521296116e-02, 1.161350512e-02, -9.483681941e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
50, -2.521296116e-02, 1.205395405e-02, -8.917169740e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
51, -2.521296116e-02, 1.246679363e-02, -8.330232940e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
52, -2.521296116e-02, 1.281541193e-02, -7.783247475e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
53, -2.521296116e-02, 1.308488155e-02, -7.321174717e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
54, -2.521296116e-02, 1.327957390e-02, -6.961798709e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
55, -2.521296116e-02, 1.341373446e-02, -6.699660600e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
56, -2.521296116e-02, 1.350333548e-02, -6.517181543e-03, 1.168718292e+00, 5.364846232e+01, 0.000000000e+00, 0.000000000e+00, 2.420150939e+05, 9.234980524e+00, 6.032026480e+04
