"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega"
33607, 3.106643303000000e-02, 8.172235123000001e-03, 6.141991096000000e-02, 1.077845152560652e+00, 4.103830423391286e+01, -3.439793316348621e+01, 4.872456150880674e+01, 2.178397811309904e+05, 7.789908033475962e+00, 6.626782984677826e+04
33608, 3.106643303000000e-02, 6.035242165000000e-03, 6.166657718000000e-02, 1.073551024931701e+00, 4.075958475856216e+01, -3.856192279432425e+01, 4.748961433794433e+01, 2.166917545449654e+05, 7.920181962613035e+00, 6.649047208587968e+04
33609, 3.106643303000000e-02, 4.397350374000000e-03, 6.180496905000000e-02, 1.069900706199575e+00, 4.023221545090814e+01, -4.212036693191673e+01, 4.615978495426359e+01, 2.157369412676511e+05, 8.818336848773939e+00, 6.928678546450728e+04
33610, 3.106643303000000e-02, 3.215328760000000e-03, 6.187772257000000e-02, 1.067263759669597e+00, 3.762789809039467e+01, -4.398913748323508e+01, 4.425891981366494e+01, 2.151396280585166e+05, 1.512922952609965e+01, 8.973956928883318e+04
33611, 3.106643303000000e-02, 2.398617327000000e-03, 6.191476015000000e-02, 1.061833773572318e+00, 2.982353972992809e+01, -4.091479701207315e+01, 3.833661231123965e+01, 2.134840574187378e+05, 5.177206633133969e+01, 2.164289550806748e+05
33612, 3.106643303000000e-02, 1.851048471000000e-03, 6.193354914000000e-02, 1.062568596972388e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.126591238315755e+05, 1.000000000000000e-10, 8.683374168077321e+04
33613, 3.106643303000000e-02, 1.251378484000000e-03, 6.194856690000000e-02, 1.108519697549126e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.255008737424108e+05, 1.000000000000000e-10, 8.381681409502168e+04
33614, 3.106643303000000e-02, 7.035555463000001e-04, 6.195721023000000e-02, 1.107861419958355e+00, 2.784276838140660e+01, -4.007979423705768e+01, 2.878057733497310e+01, 2.255181257131754e+05, 3.054079456337391e+01, 1.713306187447220e+05
33615, 3.106643303000000e-02, -1.139860228000000e-04, 6.196109987000000e-02, 1.107226759256946e+00, 3.143626809467229e+01, -4.370058615163900e+01, 3.164934312815891e+01, 2.253559056271951e+05, 8.730472260811059e+00, 8.302365480868806e+04
33616, 3.106643303000000e-02, -1.298167611000000e-03, 6.194760407000000e-02, 1.107395147715172e+00, 3.332365950017869e+01, -4.389346322353779e+01, 3.304453702623537e+01, 2.255000978106975e+05, 7.298163247924933e+00, 7.330758731432341e+04
33617, 3.106643303000000e-02, -2.940933470000000e-03, 6.189137097000000e-02, 1.107725287023513e+00, 3.543754282299479e+01, -4.336500072563943e+01, 3.440627773721168e+01, 2.256942853219369e+05, 6.996115886750495e+00, 6.895042052807675e+04
33618, 3.106643303000000e-02, -5.087594556000000e-03, 6.175198192000000e-02, 1.108304741894168e+00, 3.765201181660240e+01, -4.312685498809019e+01, 3.555104567398176e+01, 2.259650335225763e+05, 6.778331516533202e+00, 6.526854228646684e+04
33619, 3.106643303000000e-02, -7.682258589000000e-03, 6.148311795000000e-02, 1.108849119750627e+00, 3.929219588454851e+01, -4.356209195598057e+01, 3.571562864684553e+01, 2.262101572625951e+05, 6.624341880259673e+00, 6.245993266538119e+04
33620, 3.106643303000000e-02, -1.053673936000000e-02, 6.105872594000000e-02, 1.108917022497969e+00, 4.009688068293773e+01, -4.499501883109222e+01, 3.472441303297828e+01, 2.262950576593669e+05, 6.490201645996461e+00, 6.010388509689428e+04
33621, 3.106643303000000e-02, -1.336836329000000e-02, 6.050188222000000e-02, 1.108478743534380e+00, 4.019055016406170e+01, -4.770066777300692e+01, 3.286386721947321e+01, 2.262342744800160e+05, 6.338706169668017e+00, 5.777217774793875e+04
33622, 3.106643303000000e-02, -1.590307158000000e-02, 5.988558428000000e-02, 1.107364387063872e+00, 3.992933224309500e+01, -5.137798576180886e+01, 3.046548978569675e+01, 2.259944890547209e+05, 6.243032181282477e+00, 5.578557334697500e+04
33623, 3.106643303000000e-02, -1.797229387000000e-02, 5.929744972000000e-02, 1.106022640207780e+00, 3.939718589757115e+01, -5.539674410449032e+01, 2.788088257325257e+01, 2.256967502142680e+05, 6.230259110758610e+00, 5.413947657848436e+04
33624, 3.106643303000000e-02, -1.953889448000000e-02, 5.879985113000000e-02, 1.104457084128909e+00, 3.841415756422096e+01, -5.903898921144128e+01, 2.550370945007549e+01, 2.253382530067459e+05, 6.671269684422302e+00, 5.423836622459150e+04
33625, 3.106643303000000e-02, -2.065911019000000e-02, 5.841568330000000e-02, 1.102776417675608e+00, 3.549270477147461e+01, -6.030091073542901e+01, 2.271755918313609e+01, 2.249006916790877e+05, 1.090745522235545e+01, 7.128328752186512e+04
33626, 3.106643303000000e-02, -2.142806431000000e-02, 5.813801639000000e-02, 1.096436837057656e+00, 3.008393870519907e+01, -5.672748078086077e+01, 1.934769184197722e+01, 2.231763278484352e+05, 4.622338191637348e+01, 2.062716214120393e+05
33627, 3.106643303000000e-02, -2.194130619000000e-02, 5.794626798000000e-02, 1.094970992387631e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.217413787265820e+05, 1.000000000000000e-10, 8.509248409270697e+04
33628, 3.085563721000000e-02, 2.493346051000000e-02, 5.682363936000000e-02, 1.090123917255543e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.204827793026755e+05, 1.000000000000000e-10, 1.678903604646619e+05
33629, 3.085563721000000e-02, 2.442959011000000e-02, 5.704207719000000e-02, 1.094772256314340e+00, 2.520167310615645e+01, -2.488779030978579e+01, 3.744405526491362e+01, 2.217559766311155e+05, 3.601477148870318e+01, 2.222448494613143e+05
33630, 3.085563721000000e-02, 2.367417720000000e-02, 5.735971389000000e-02, 1.093518132259413e+00, 3.026976613961666e+01, -2.967801506384049e+01, 4.447759475848861e+01, 2.215756012420183e+05, 2.041351274373435e+01, 1.849753695843472e+05
33631, 3.085563721000000e-02, 2.257263252000000e-02, 5.780207353000000e-02, 1.091574693077870e+00, 3.219445558883750e+01, -2.884335309704782e+01, 4.584116677179988e+01, 2.211757586195567e+05, 2.151034451191888e+01, 1.881906956828220e+05
33632, 3.085563721000000e-02, 2.103008569000000e-02, 5.838098097000000e-02, 1.090825757842611e+00, 3.443125171720564e+01, -2.738280852701573e+01, 4.708557003999671e+01, 2.210704993104500e+05, 2.217698896456468e+01, 1.878353511085197e+05
33633, 3.085563721000000e-02, 1.898905163000000e-02, 5.907638582000000e-02, 1.090723580096198e+00, 3.643178738932863e+01, -2.590914984589745e+01, 4.758786983585885e+01, 2.210965121468853e+05, 2.277359799064791e+01, 1.880200363228836e+05
33634, 3.085563721000000e-02, 1.648347953000000e-02, 5.982389444000000e-02, 1.090034247283950e+00, 3.775729894248731e+01, -2.539358539076528e+01, 4.730129477752518e+01, 2.209207228519547e+05, 2.315216639332312e+01, 1.880970949016277e+05
33635, 3.085563721000000e-02, 1.367759596000000e-02, 6.052707503000000e-02, 1.087337994544567e+00, 3.845731871158458e+01, -2.646795896621785e+01, 4.663287138901669e+01, 2.201924972628572e+05, 2.329006279027848e+01, 1.884747861263370e+05
33636, 3.085563721000000e-02, 1.084199069000000e-02, 6.109872896000000e-02, 1.083148550568424e+00, 3.863793626959905e+01, -2.920690776736926e+01, 4.571207836071240e+01, 2.190667019040374e+05, 2.311851010166476e+01, 1.889312454214804e+05
33637, 3.085563721000000e-02, 8.258455662000000e-03, 6.150123050000000e-02, 1.078369154421991e+00, 3.853561445776941e+01, -3.273815781037557e+01, 4.463854844265023e+01, 2.177809119795575e+05, 2.281841612491094e+01, 1.894122278249844e+05
33638, 3.085563721000000e-02, 6.116724934000000e-03, 6.175102525000000e-02, 1.073941067598450e+00, 3.855862441089360e+01, -3.624528722941849e+01, 4.371877099282207e+01, 2.165951603303658e+05, 2.234998127254651e+01, 1.895475295954261e+05
33639, 3.085563721000000e-02, 4.475137689000000e-03, 6.189165199000000e-02, 1.069574572724420e+00, 3.884233747601383e+01, -3.909957778038083e+01, 4.315300966739842e+01, 2.154550363065752e+05, 2.177786347981238e+01, 1.871307468419448e+05
33640, 3.085563721000000e-02, 3.290416056000000e-03, 6.196593100000000e-02, 1.067196855147278e+00, 3.724765987339630e+01, -4.106700400806826e+01, 4.168986795219255e+01, 2.149563070765623e+05, 2.397728325422274e+01, 1.826360228340118e+05
33641, 3.085563721000000e-02, 2.471823356000000e-03, 6.200397997000000e-02, 1.062002213578222e+00, 3.023529090651925e+01, -3.829205080953884e+01, 3.423340688301288e+01, 2.133738026781741e+05, 4.973857279798816e+01, 2.610878071551413e+05
33642, 3.085563721000000e-02, 1.922986165000000e-03, 6.202342757000000e-02, 1.062683009533905e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.127371275291507e+05, 1.000000000000000e-10, 1.709505923822612e+05
33643, 3.085563721000000e-02, 1.341373649000000e-03, 6.203873113000000e-02, 1.113150782443455e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.267350646459320e+05, 1.000000000000000e-10, 1.653144408800314e+05
33644, 3.085563721000000e-02, 7.922731796000000e-04, 6.204817279000000e-02, 1.107628290343986e+00, 2.769962139601142e+01, -4.035746823966297e+01, 2.849502185736879e+01, 2.254555508229710e+05, 3.232184359713894e+01, 2.257442629670410e+05
33645, 3.085563721000000e-02, -2.718774678000000e-05, 6.205322477000000e-02, 1.106589473887365e+00, 2.982077201994441e+01, -4.184670929756278e+01, 3.007549328495093e+01, 2.251604618084008e+05, 1.888991220486545e+01, 1.818255270379316e+05
