"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
46, -2.521296116000000e-02, 1.054278766000000e-02, -1.066130164000000e-02, 1.196829002482394e+00, 3.292232692518254e+01, 4.731317605502377e-02, 1.039620997637656e+00, 2.477222047892829e+05, 6.956043275598247e+00, 8.887058446742113e+04, 0.000000000000000e+00, -2.132260328000000e+01, -2.108557532000000e+01
47, -2.521296116000000e-02, 1.082946668000000e-02, -1.036997472000000e-02, 1.196756902327424e+00, 3.159725771483257e+01, -3.057247718509756e-01, 7.877649954094113e-01, 2.476597432452723e+05, 6.705579018267304e+00, 8.735680583798673e+04, 0.000000000000000e+00, -2.073994944000000e+01, -2.165893336000000e+01
48, -2.521296116000000e-02, 1.119246743000000e-02, -9.977093620000000e-03, 1.196807981243367e+00, 2.957689971080675e+01, -5.856042484604551e-01, 3.214613717782723e-01, 2.476090511171926e+05, 6.369791105886780e+00, 8.568805767168551e+04, 0.000000000000000e+00, -1.995418724000000e+01, -2.238493486000000e+01
49, -2.521296116000000e-02, 1.161350512000000e-02, -9.483681940999999e-03, 1.195906345477357e+00, 2.715303881148901e+01, -1.196458725876693e+00, -2.564563240485970e-01, 2.474419524608508e+05, 6.020464752666157e+00, 8.368200182000906e+04, 0.000000000000000e+00, -1.896736388200000e+01, -2.322701024000000e+01
50, -2.521296116000000e-02, 1.205395405000000e-02, -8.917169740000000e-03, 1.195867331472414e+00, 2.562884146341559e+01, -1.555102246022206e+00, -8.182940253808365e-01, 2.474731076324052e+05, 5.793428979205445e+00, 8.242115446705687e+04, 0.000000000000000e+00, -1.783433948000000e+01, -2.410790810000000e+01
51, -2.521296116000000e-02, 1.246679363000000e-02, -8.330232940000000e-03, 1.195981625394345e+00, 2.493713254580320e+01, -1.658970404421018e+00, -1.272820708863757e+00, 2.475239346795928e+05, 5.701844929392341e+00, 8.203362581069874e+04, 0.000000000000000e+00, -1.666046588000000e+01, -2.493358726000000e+01
52, -2.521296116000000e-02, 1.281541193000000e-02, -7.783247475000000e-03, 1.196540550481008e+00, 2.498182031861381e+01, -1.611903154123764e+00, -1.596722320998517e+00, 2.476934669403144e+05, 5.686445048660155e+00, 8.203852601206680e+04, 0.000000000000000e+00, -1.556649495000000e+01, -2.563082386000000e+01
53, -2.521296116000000e-02, 1.308488155000000e-02, -7.321174717000000e-03, 1.197367781733426e+00, 2.588660912983901e+01, -1.390683082201021e+00, -1.479332729872765e+00, 2.478882978815186e+05, 5.818569509229095e+00, 8.281131524861608e+04, 0.000000000000000e+00, -1.464234943400000e+01, -2.616976310000000e+01
54, -2.521296116000000e-02, 1.327957390000000e-02, -6.961798709000000e-03, 1.197929308797911e+00, 2.744437793250271e+01, -1.048448567492223e+00, -9.740159312820155e-01, 2.480148665327333e+05, 6.064873740614265e+00, 8.421540155826330e+04, 0.000000000000000e+00, -1.392359741800000e+01, -2.655914780000000e+01
55, -2.521296116000000e-02, 1.341373446000000e-02, -6.699660600000000e-03, 1.198035541675438e+00, 2.906379105394581e+01, -8.127234944374813e-01, -4.185794679575672e-01, 2.480618097074353e+05, 6.361257501785405e+00, 8.616804333456274e+04, 0.000000000000000e+00, -1.339932120000000e+01, -2.682746892000000e+01
56, -2.521296116000000e-02, 1.350333548000000e-02, -6.517181543000000e-03, 1.197974875594079e+00, 3.055094418825473e+01, -5.168120882486995e-01, 6.793771903774909e-02, 2.480849450684406e+05, 6.657682056936823e+00, 8.864441795338309e+04, 0.000000000000000e+00, -1.303436308600000e+01, -2.700667096000000e+01
57, -2.521296116000000e-02, 1.356199421000000e-02, -6.394219047000000e-03, 1.197655810311024e+00, 3.119651706790529e+01, -3.383267791595789e-01, 2.128270370787468e-01, 2.481049003324227e+05, 6.803933162607897e+00, 8.986459481100581e+04, 0.000000000000000e+00, -1.278843809400000e+01, -2.712398842000000e+01
58, -2.521296116000000e-02, 5.276052211000000e-03, -1.444811727000000e-02, 1.197296260294495e+00, 3.646152330024093e+01, 1.359945632653230e+00, 1.277701718076307e+00, 2.479891964759654e+05, 4.968002267753930e+00, 3.388121567517055e+04, 0.000000000000000e+00, -2.889623454000000e+01, -1.055210442200000e+01
59, -2.521296116000000e-02, 5.407112320000000e-03, -1.439958180000000e-02, 1.196914682031436e+00, 3.728341560618522e+01, 1.586146153858604e+00, 1.287214738286082e+00, 2.478841255400745e+05, 5.004451074127801e+00, 3.434459301303596e+04, 0.000000000000000e+00, -2.879916360000000e+01, -1.081422464000000e+01
60, -2.521296116000000e-02, 5.601844705000000e-03, -1.432494871000000e-02, 1.196695554383531e+00, 3.684959357684357e+01, 1.144340918739015e+00, 1.026113542676738e+00, 2.477829398292300e+05, 4.865562373947403e+00, 3.347522978557630e+04, 0.000000000000000e+00, -2.864989742000000e+01, -1.120368941000000e+01
