"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          90,      -5.424527926,      -3.092182857,      -3.097112563,      -3.064512247,    0.008623673448
          0,           0,          91,      -5.411850668,      -3.023899152,      -3.094756614,       -3.06542293,     0.03093869734
          0,           0,          92,      -5.400146883,      -2.975703783,      -3.092423283,      -3.065775033,     0.05170663914
          0,           0,          93,      -5.426924196,      -3.094449742,      -3.089942936,      -3.065838601,    0.008756068826
          0,           0,          94,      -5.430338444,      -3.108096489,      -3.088289316,      -3.066274368,    0.004573909855
          0,           0,          95,      -5.431867701,      -3.113821919,      -3.087758335,       -3.06630688,    0.003386923878
          0,           0,          96,      -5.432599166,      -3.116261887,      -3.086854861,      -3.066102304,     0.00317703265
          0,           0,          97,      -5.433206795,      -3.117949446,      -3.086846731,      -3.065772639,    0.003193151835
          0,           0,          98,      -5.433612513,       -3.11980057,      -3.086471167,      -3.065340967,    0.003379832045
          0,           0,          99,      -5.433898693,      -3.121308776,      -3.086792226,      -3.064875097,    0.003711630628
          0,           0,         100,      -5.434208946,      -3.123177777,      -3.086144516,      -3.064376055,    0.003924196383
          0,           0,         101,      -5.434502921,      -3.124845859,      -3.088060117,      -3.063900843,    0.004112211439
          0,           0,         102,       -5.43484693,      -3.126492249,      -3.089069192,      -3.063459967,    0.004153185482
          0,           0,         103,      -5.435234401,      -3.128221305,      -3.090325048,      -3.063069142,    0.004065623093
          0,           0,         104,      -5.435646268,      -3.129882348,      -3.091611985,      -3.062768393,    0.003844531746
          0,           0,         105,      -5.436144111,      -3.131766174,      -3.094240985,       -3.06262055,    0.003440753005
          0,           0,         106,      -5.436702059,      -3.133634791,      -3.096782908,      -3.062622211,    0.002874665128
          0,           0,         107,      -5.437315739,      -3.135764666,      -3.099167582,      -3.062792229,    0.002142699385
          0,           0,         108,      -5.438015119,      -3.137955924,      -3.101482854,      -3.063164207,    0.001215695685
          0,           0,         109,      -5.438767098,        -3.1403541,      -3.103930713,      -3.063751198,   0.0001555176497
          0,           0,         110,      -5.439549112,      -3.142594401,      -3.106305517,      -3.064563075,   -0.001008867696
          0,           0,         111,      -5.440414186,      -3.145157999,      -3.109166922,      -3.065626787,   -0.002345959442
          0,           0,         112,      -5.441362285,      -3.147688867,      -3.111883271,      -3.066913806,   -0.003822330939
          0,           0,         113,      -5.442169963,      -3.150074701,      -3.114891808,      -3.068439186,   -0.005131155267
          0,           0,         114,      -5.443280167,      -3.152814938,      -3.118268426,      -3.070190189,   -0.006867585056
          0,           0,         115,      -5.444420919,      -3.155768848,      -3.121071525,      -3.072195642,   -0.008649004513
          0,           0,         116,      -5.445558882,      -3.158371976,      -3.124111324,      -3.074375333,    -0.01043066338
