"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         197,      -5.576429098,      -3.215382911,      -3.221241408,      -3.332431905,      -0.174649276
          0,           0,         198,      -5.578785226,      -3.216517705,      -3.220832219,      -3.332218903,     -0.1774989104
          0,           0,         199,       -5.57873348,      -3.217349319,      -3.223662329,      -3.335218834,     -0.1772600285
          0,           0,         200,      -5.576328504,      -3.217933591,      -3.229742041,      -3.341454685,       -0.17401287
          0,           0,         201,      -5.571808302,      -3.218269657,      -3.239118663,      -3.350972523,     -0.1680925988
          0,           0,         202,      -5.565498905,      -3.218397712,      -3.251901219,      -3.363861328,      -0.159963731
          0,           0,         203,      -5.557826781,      -3.218350168,      -3.268248376,      -3.380254885,     -0.1502103672
          0,           0,         204,      -5.549259219,      -3.218131934,       -3.28835016,      -3.400337298,     -0.1394465327
          0,           0,         205,       -5.54025374,      -3.217749492,       -3.31244942,      -3.424348305,      -0.128251696
          0,           0,         206,      -5.531205697,      -3.217233576,      -3.340911843,      -3.452626562,     -0.1171141479
          0,           0,         207,      -5.522436971,      -3.216570821,      -3.374152689,      -3.485555304,     -0.1064139699
          0,           0,         208,      -5.514171246,      -3.215864159,      -3.412666885,      -3.523608748,    -0.09641879605
          0,           0,         209,      -5.506783952,      -3.215166883,      -3.457084266,      -3.567373146,    -0.08753236531
          0,           0,         210,      -5.500300431,      -3.214446373,      -3.508078946,      -3.617492306,    -0.07977519371
          0,           0,         211,      -5.495011457,      -3.213680915,      -3.566190306,      -3.674505925,    -0.07344907939
          0,           0,         212,      -5.490865103,      -3.212998437,      -3.631421914,      -3.738497674,    -0.06849670876
          0,           0,         213,      -5.488021385,      -3.212323057,       -3.70202325,      -3.808057231,    -0.06507318077
          0,           0,         214,      -5.486557242,      -3.211670151,      -3.771693813,      -3.877936744,    -0.06325216192
          0,           0,         215,      -5.486486458,      -3.211021175,      -3.825586326,      -3.935324279,    -0.06304500618
          0,           0,         216,      -5.487793659,      -3.210461256,      -3.842769024,      -3.960242239,    -0.06443726018
          0,           0,         217,      -5.490481873,      -3.209925243,      -3.815158744,      -3.941301613,    -0.06743143407
          0,           0,         218,      -5.494496977,      -3.209412238,      -3.757954975,        -3.8897501,    -0.07196986153
          0,           0,         219,      -5.499833209,      -3.208923691,       -3.69122457,      -3.825462702,    -0.07805973134
          0,           0,         220,      -5.506385889,      -3.208448552,      -3.626507203,      -3.761420946,     -0.0855940841
          0,           0,         221,      -5.514102832,      -3.207970584,      -3.568097651,      -3.702917412,    -0.09453337351
          0,           0,         222,      -5.522877808,      -3.207447316,      -3.516922288,      -3.651377406,     -0.1047702398
          0,           0,         223,      -5.532603058,      -3.206846761,      -3.472665977,      -3.606727179,     -0.1162088497
