"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          89,      -4.348864567,      -2.255422933,      -1.683924303,      -2.420207142,       1.136478343
          0,           0,          90,      -4.374946908,      -2.274236961,      -1.672826974,      -2.383367366,       1.111922354
          0,           0,          91,      -4.398369225,      -2.287590015,      -1.664862622,      -2.354504059,       1.090815177
          0,           0,          92,      -4.418585013,      -2.300567587,      -1.659253521,      -2.334838651,        1.07356602
          0,           0,          93,      -4.434437353,      -2.311809321,      -1.655597437,      -2.324722411,       1.061141835
          0,           0,          94,      -4.444771118,      -2.319715762,      -1.653641774,       -2.32400813,       1.054435201
          0,           0,          95,      -4.449466939,      -2.325439214,      -1.653141516,      -2.332872982,       1.053265225
          0,           0,          96,      -4.448637591,      -2.326181435,      -1.653710317,      -2.351325218,       1.057128842
          0,           0,          97,      -4.443575542,      -2.324814788,       -1.65521861,      -2.379245382,       1.064510801
          0,           0,          98,      -4.435379455,      -2.323014436,      -1.657548249,      -2.416184825,       1.074269914
          0,           0,          99,      -4.425284675,      -2.323461955,      -1.660738111,      -2.461090927,       1.085249093
          0,           0,         100,      -4.413583497,      -2.323327347,       -1.66492049,      -2.511096085,       1.097064522
          0,           0,         101,      -4.400637383,      -2.317236484,      -1.670004168,      -2.560589121,       1.109508544
          0,           0,         102,      -4.387539954,      -2.309372587,      -1.676000766,      -2.600196268,       1.121633927
          0,           0,         103,      -4.374656211,      -2.304242094,       -1.68285505,      -2.620034179,       1.133208083
          0,           0,         104,      -4.361582688,      -2.297111002,      -1.690961368,      -2.615862582,       1.144611723
          0,           0,         105,      -4.348413424,      -2.289403523,      -1.700356026,      -2.592687458,       1.155932099
          0,           0,         106,      -4.335334573,      -2.282101742,      -1.711011474,      -2.560032803,       1.167089912
          0,           0,         107,      -4.322372191,      -2.273461529,      -1.723081807,      -2.526181274,       1.178148606
          0,           0,         108,      -4.309451433,       -2.26390985,      -1.737080784,      -2.495601021,       1.189273411
          0,           0,         109,      -4.296736699,      -2.252671153,      -1.752973737,      -2.469882124,       1.200409884
          0,           0,         110,      -4.284659018,      -2.242472652,      -1.770914121,      -2.449145449,       1.211216438
          0,           0,         111,      -4.273474353,      -2.232410627,      -1.791048761,       -2.43234381,       1.221460785
          0,           0,         112,      -4.263366437,      -2.222892135,      -1.813476089,      -2.418204315,       1.231022011
          0,           0,         113,      -4.254672291,      -2.213802582,      -1.838266031,       -2.40498377,       1.239549076
          0,           0,         114,      -4.247766755,        -2.2058659,      -1.865111466,      -2.390777579,       1.246654093
          0,           0,         115,      -4.242836507,      -2.198943364,      -1.893270166,      -2.373775975,       1.252084176
          0,           0,         116,      -4.240238403,      -2.194716225,      -1.921879147,      -2.353045374,        1.25546231
          0,           0,         117,      -4.240136562,      -2.191162627,      -1.949711588,      -2.327721998,       1.256529562
          0,           0,         118,      -4.242998581,      -2.191149174,      -1.975032261,      -2.298022028,       1.254733817
          0,           0,         119,      -4.248878588,      -2.193698939,      -1.994913013,      -2.264953311,       1.249908997
          0,           0,         120,      -4.258081637,      -2.197739522,      -2.006963799,      -2.229839775,       1.241662789
          0,           0,         121,      -4.270700522,      -2.204594356,      -2.008824442,       -2.19458394,       1.229626436
          0,           0,         122,      -4.286903979,      -2.213841337,      -2.000253268,      -2.160781801,       1.213517582
          0,           0,         123,      -4.306622364,      -2.224277276,      -1.983232016,      -2.129416222,        1.19306607
          0,           0,         124,      -4.329853456,      -2.238173305,      -1.960910507,      -2.101322863,       1.168169359
          0,           0,         125,      -4.356421024,       -2.25464322,      -1.936677638,      -2.077276541,       1.138727548
          0,           0,         126,      -4.385619617,      -2.272114734,      -1.913030533,      -2.057408268,       1.105233141
          0,           0,         127,      -4.416944777,      -2.292466948,       -1.89171766,      -2.041680841,       1.068179746
