"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
57, -2.521296116000000e-02, 1.356199421000000e-02, -6.394219047000000e-03, 1.083116239846097e+00, 1.512943438485518e+02, -1.586691805556136e-01, -8.541089286351851e-01, 2.276592464040875e+05, 1.115461198351785e+02, 6.076021762053145e+05, 0.000000000000000e+00, -4.854607603153436e+01, -1.029651310376651e+02
58, -2.521296116000000e-02, 5.276052211000000e-03, -1.444811727000000e-02, 1.085969661267617e+00, 1.632766511982551e+02, 9.095909476837299e-01, 9.131778824417641e-01, 2.281774703713165e+05, 7.666675914759722e+01, 4.823438681804480e+05, 0.000000000000000e+00, -1.096927387608066e+02, -4.005674968262485e+01
59, -2.521296116000000e-02, 5.407112320000000e-03, -1.439958180000000e-02, 1.085014048614591e+00, 1.640344907611036e+02, 8.091605543692352e-01, 1.129695738384102e+00, 2.279942559008675e+05, 7.699731664844035e+01, 4.845173700930568e+05, 0.000000000000000e+00, -1.093242486294040e+02, -4.105178190930471e+01
60, -2.521296116000000e-02, 5.601844705000000e-03, -1.432494871000000e-02, 1.084427583551601e+00, 1.643596566189040e+02, 5.927856522259591e-01, 1.126677902135120e+00, 2.277934671700715e+05, 7.681821310153941e+01, 4.836024289224911e+05, 0.000000000000000e+00, -1.087576206119750e+02, -4.253022565646526e+01
61, -2.521296116000000e-02, 5.882089733000000e-03, -1.421217224000000e-02, 1.084071966175746e+00, 1.645125025140814e+02, 3.648557115894706e-01, 9.797444401384419e-01, 2.277019291388488e+05, 7.690215816406095e+01, 4.841144938320926e+05, 0.000000000000000e+00, -1.079014011038621e+02, -4.465789696968535e+01
62, -2.521296116000000e-02, 6.267286822000000e-03, -1.404656312000000e-02, 1.083262860965339e+00, 1.641828028908907e+02, -1.681466716706191e-01, 1.029234693725715e+00, 2.274490810409650e+05, 7.654195778648995e+01, 4.820414049901051e+05, 0.000000000000000e+00, -1.066440664908405e+02, -4.758238345228297e+01
63, -2.521296116000000e-02, 6.764332969000000e-03, -1.381407322000000e-02, 1.083476058203922e+00, 1.642993347902036e+02, -3.879506376075206e-01, 8.235863396261418e-01, 2.276021181760776e+05, 7.626102233198388e+01, 4.804106497728740e+05, 0.000000000000000e+00, -1.048789608103807e+02, -5.135604836211495e+01
64, -2.521296116000000e-02, 7.355464105000000e-03, -1.350858865000000e-02, 1.083420484841230e+00, 1.642972826684298e+02, -5.764546454512162e-01, 9.200556729690809e-01, 2.276233184310026e+05, 7.591771639828461e+01, 4.784658616027428e+05, 0.000000000000000e+00, -1.025596662956520e+02, -5.584402365071993e+01
65, -2.521296116000000e-02, 7.993362197000000e-03, -1.314119402000000e-02, 1.084022486630297e+00, 1.642526182638144e+02, -6.228565962393280e-01, 8.720006044785800e-01, 2.277324531289113e+05, 7.576628098348179e+01, 4.776779372512651e+05, 0.000000000000000e+00, -9.977033932539045e+01, -6.068706219021630e+01
66, -2.521296116000000e-02, 8.612951653000000e-03, -1.274369975000000e-02, 1.084079578163289e+00, 1.641934427520785e+02, -5.406859949106124e-01, 1.002631973496148e+00, 2.277456626727231e+05, 7.574285577881454e+01, 4.775892157305924e+05, 0.000000000000000e+00, -9.675249040409446e+01, -6.539109822936717e+01
67, -2.521296116000000e-02, 9.156059180000000e-03, -1.235926372000000e-02, 1.084028273608326e+00, 1.641156087029258e+02, -4.249246172553849e-01, 1.240683255296362e+00, 2.277178533737142e+05, 7.584568107335237e+01, 4.783177643684366e+05, 0.000000000000000e+00, -9.383378202008979e+01, -6.951446952854261e+01
68, -2.521296116000000e-02, 9.591081838999999e-03, -1.202480639000000e-02, 1.083554281277251e+00, 1.640420396669114e+02, -5.959858286246300e-01, 1.687504085250773e+00, 2.275572760943259e+05, 7.600695442279282e+01, 4.795229265757885e+05, 0.000000000000000e+00, -9.129452103260427e+01, -7.281724081679906e+01
69, -2.521296116000000e-02, 9.915279635000000e-03, -1.175891361000000e-02, 1.083151977330693e+00, 1.642538698064265e+02, -6.294753657265340e-01, 1.859553364985239e+00, 2.274796381611555e+05, 7.646864734443156e+01, 4.823702484168024e+05, 0.000000000000000e+00, -8.927581460117975e+01, -7.527860955286950e+01
70, -2.521296116000000e-02, 1.014429881000000e-02, -1.156192117000000e-02, 1.082571743011708e+00, 1.646657367894538e+02, -6.014858890289503e-01, 1.950993656027449e+00, 2.273890760799585e+05, 7.714414631482683e+01, 4.863543463946455e+05, 0.000000000000000e+00, -8.778021210467718e+01, -7.701736485676319e+01
71, -2.521296116000000e-02, 1.030012281000000e-02, -1.142332218000000e-02, 1.082071842483563e+00, 1.652416473243669e+02, -4.886785650998950e-01, 1.958189075347602e+00, 2.273420084229431e+05, 7.806597092816483e+01, 4.916894365289999e+05, 0.000000000000000e+00, -8.672794331986120e+01, -7.820040905589597e+01
72, -2.521296116000000e-02, 1.040349176000000e-02, -1.132926206000000e-02, 1.081771626126834e+00, 1.656731677926946e+02, -5.459404011265155e-01, 1.916212153874973e+00, 2.272799635580997e+05, 7.883311438690490e+01, 4.960805512879329e+05, 0.000000000000000e+00, -8.601382175106733e+01, -7.898520495811867e+01
